config,layer,heat_epi,heat_ale,total_epi,total_ale,total_std,jacobian_diag
diag_naive,1,8.66936146921944e-05,0.0004804450367810205,0.0003427536390372552,0.001337014307267964,0.0013879213437903673,
diag_naive,2,0.00014387007846380584,0.00048691544338362293,0.0003870277339592576,0.0013029776238836347,0.001368613610509783,
diag_naive,3,0.00017060373758431523,0.0004840052013751119,0.00044615206407615915,0.0012902276036329567,0.0013797040185891092,
diag_naive,4,0.00020005655837303493,0.00048433142021531237,0.0005163554480532185,0.0012884551014285535,0.001405593186384067,
diag_naive,5,0.00023372479529643896,0.00048602012061746793,0.0005920852439594455,0.0012938094341661782,0.0014460613084957003,
diag_naive,6,0.0002351568340382073,0.0005060888763982803,0.0005896541178808547,0.001309869090327993,0.0014604345795232803,
diag_naive,7,0.0002382117385568563,0.0005221428785589523,0.0005898927166708745,0.0013310613047797233,0.0014787961416877805,
diag_naive,8,0.00025123482444905674,0.0005473149325116537,0.0006069970350945368,0.0013798744899686426,0.0015311014528851957,
diag_naive,9,0.0002992783077643253,0.000622555136331357,0.0007219137081410736,0.0015184374798554927,0.0017099377203267068,
diag_naive,10,0.00035526878850942014,0.0007616927055642008,0.0008512678434490226,0.001886306043714285,0.002105527777224779,
diag_naive,11,0.0003857236174371792,0.000861401809961535,0.0009882114040083252,0.0022778246619272976,0.002525945403845981,
diag_naive,12,0.00042795919012860394,0.0009001763936830685,0.001218123401980847,0.002645336122252047,0.0029697739684488625,
diag_propagated,1,8.66936146921944e-05,0.0004804450367810205,0.00035292091555311347,0.0013351966449990868,0.001388274883851409,0.9986168311834336
diag_propagated,2,0.00014387007846380584,0.00048691544338362293,0.00039497291756561024,0.0013010473430622369,0.0013690336900763214,0.9982268694639206
diag_propagated,3,0.00017060373758431523,0.0004840052013751119,0.00045684743556194006,0.0012884653306100518,0.0013813410399015993,0.9978648520708084
diag_propagated,4,0.00020005655837303493,0.00048433142021531237,0.0005258164760889486,0.0012865652532782405,0.0014078025603666902,0.9975402215719223
diag_propagated,5,0.00023372479529643896,0.00048602012061746793,0.0005994305523345247,0.001291756900260225,0.0014469672185368836,0.9972654218673707
diag_propagated,6,0.0002351568340382073,0.0005060888763982803,0.0005987857955042273,0.0013077806343790143,0.0014623487752396613,0.9972833875417709
diag_propagated,7,0.0002382117385568563,0.0005221428785589523,0.00059801430022344,0.0013290964041370898,0.0014802017922047525,0.9974016916751861
diag_propagated,8,0.00025123482444905674,0.0005473149325116537,0.0006204695345368237,0.0013779336395673453,0.001533600676106289,0.9973499298095703
diag_propagated,9,0.0002992783077643253,0.000622555136331357,0.0007382390217971988,0.001516141997417435,0.001713416330749169,0.9973014991283417
diag_propagated,10,0.00035526878850942014,0.0007616927055642008,0.000870925975323189,0.0018826842978596687,0.0021095633183140306,0.997332972407341
diag_propagated,11,0.0003857236174371792,0.000861401809961535,0.001012207428109832,0.00227446282398887,0.0025326069677248596,0.9975688967704773
diag_propagated,12,0.00042795919012860394,0.0009001763936830685,0.0012450165868503973,0.002642406088998541,0.0029780618292279543,0.9975080876350403
lowrank_naive,1,0.0038075076355598867,0.0001293373270164011,0.008172542890533804,2.089873505115509,2.08989110660553,
lowrank_naive,2,0.004387467176653444,0.00012539509577618447,0.00707169680390507,2.109685568809509,2.109698702812195,
lowrank_naive,3,0.004330188226886094,0.00012147424247814342,0.007879324327223002,2.069371176958084,2.0693875064849854,
lowrank_naive,4,0.0041229675430804495,0.00011835303711995949,0.007271698804572225,2.0045420939922334,2.00455720448494,
lowrank_naive,5,0.004565383455948904,0.00011835505718772766,0.0073350948700681325,1.9692713041305543,1.9692881472110748,
lowrank_naive,6,0.004246256130747497,0.00012842296037706547,0.0072273565484210845,2.0539215404987337,2.053936849594116,
lowrank_naive,7,0.0042199195800349115,0.00012825405842158943,0.006609771132934839,2.0436688721179963,2.043681313991547,
lowrank_naive,8,0.0048030940401367845,0.00013254288108146284,0.007487539945170284,2.058787638425827,2.0588027367591857,
lowrank_naive,9,0.004454930693842471,0.00014935402270930355,0.007470863902010023,2.0610332808494567,2.0610484969615936,
lowrank_naive,10,0.004904679332859814,0.00016605752440227662,0.008490506440401077,2.167645728111267,2.1676651701927185,
lowrank_naive,11,0.006178044833242893,0.00018172461954236497,0.010179958991706371,2.1675156857967375,2.167544541358948,
lowrank_naive,12,0.006442806186154485,0.00018850876411306673,0.010507152015343309,2.1663955900669096,2.1664266812801363,
lowrank_propagated,1,0.0038075076355598867,0.0001293373270164011,0.008226024209521711,2.045213989496231,2.0452320005893707,0.9990807949304581
lowrank_propagated,2,0.004387467176653444,0.00012539509577618447,0.0071165548218414185,2.035004503726959,2.035018097639084,0.9988172025680542
lowrank_propagated,3,0.004330188226886094,0.00012147424247814342,0.007839969812892377,1.98659596657753,1.9866126267910003,0.9988280330896377
lowrank_propagated,4,0.0041229675430804495,0.00011835303711995949,0.0072417793804779645,1.9185200262069702,1.9185352404117584,0.9987418555021286
lowrank_propagated,5,0.004565383455948904,0.00011835505718772766,0.0070891908062621955,1.8771385803222655,1.877154334783554,0.9987605532407761
lowrank_propagated,6,0.004246256130747497,0.00012842296037706547,0.007400283670984209,1.9668241024017334,1.9668404812812805,0.9987427712678909
lowrank_propagated,7,0.0042199195800349115,0.00012825405842158943,0.006761169099248946,1.9576628324985503,1.9576760318279267,0.9988163204193116
lowrank_propagated,8,0.0048030940401367845,0.00013254288108146284,0.007642448928207159,1.976195023059845,1.976211161851883,0.9988114272356033
lowrank_propagated,9,0.004454930693842471,0.00014935402270930355,0.007553312391042709,1.9894346852302551,1.9894505631923676,0.9987764389514923
lowrank_propagated,10,0.004904679332859814,0.00016605752440227662,0.00866589753702283,2.097833235025406,2.0978534970283507,0.9988569070100785
lowrank_propagated,11,0.006178044833242893,0.00018172461954236497,0.010214148566126824,2.1004080464839934,2.1004368352890013,0.9987482740879059
