config,layer,heat_epi,heat_ale,total_epi,total_ale,total_std,jacobian_diag
diag_naive,1,0.0007722365364897997,0.0011432275380939246,0.0017754347430891358,0.003116914932150394,0.003859157210215926,
diag_naive,2,0.0010218936521996511,0.0011415235721506179,0.0022050767387263477,0.0030433914442546664,0.004079094161279499,
diag_naive,3,0.0009115261225088034,0.0011379073215648532,0.002343191464431584,0.003024679245892912,0.004135603274684399,
diag_naive,4,0.0009209147870715242,0.0011382774657104165,0.0025572374602197668,0.00303240147838369,0.004264631314203143,
diag_naive,5,0.0011367631123866886,0.001140865491470322,0.002783870869898237,0.0030611977432854474,0.004450747383758426,
diag_naive,6,0.001046339075139258,0.0011433044367004186,0.0026425686083966864,0.00305705620162189,0.004334798511583358,
diag_naive,7,0.001164275748451473,0.0011447022373322398,0.0027017841355409474,0.003065655216574669,0.004368960523977876,
diag_naive,8,0.0012291836438234895,0.0011511232331395148,0.002776356445858255,0.0031021159635856747,0.0044729417869821195,
diag_naive,9,0.0014705971889488864,0.001160454365890473,0.0032891605377662926,0.003187580970581621,0.004888502755202353,
diag_naive,10,0.0015560552709794138,0.0012355747746769338,0.0032577271284535527,0.003449719544965774,0.005052852807100862,
diag_naive,11,0.0018044448874134104,0.0012613759124651552,0.004069352196063847,0.0036709807594306767,0.005812763270456344,
diag_naive,12,0.0017401078501425218,0.0012958122515119611,0.004348139952286147,0.003929108145646751,0.006196312095969915,
diag_propagated,1,0.0007722365364897997,0.0011432275380939246,0.0018795774110476487,0.00311528105661273,0.003920252434909344,0.9988592978715897
diag_propagated,2,0.0010218936521996511,0.0011415235721506179,0.002333659017691389,0.003041587553918362,0.004160122551955282,0.9983075658082962
diag_propagated,3,0.0009115261225088034,0.0011379073215648532,0.002426591623399872,0.0030227767592296002,0.004190397897735238,0.9980829524993896
diag_propagated,4,0.0009209147870715242,0.0011382774657104165,0.002615767035866156,0.0030304759670980275,0.004299846423324197,0.9978527283668518
diag_propagated,5,0.0011367631123866886,0.001140865491470322,0.002888857983984053,0.0030591336158104243,0.004523401751182973,0.9976011165380478
diag_propagated,6,0.001046339075139258,0.0011433044367004186,0.0027023236302193255,0.003054832178167999,0.004377586085814983,0.9975700210332871
diag_propagated,7,0.001164275748451473,0.0011447022373322398,0.0027958537494996564,0.003063592981081456,0.004431859702803195,0.997589295744896
diag_propagated,8,0.0012291836438234895,0.0011511232331395148,0.0029026573497103526,0.003100049684755504,0.004562690122053027,0.9975174595117569
diag_propagated,9,0.0014705971889488864,0.001160454365890473,0.0034096902995370327,0.003185696786735207,0.004972790786530823,0.9976758437156678
diag_propagated,10,0.0015560552709794138,0.0012355747746769338,0.0034403851144015787,0.003447084958665073,0.005173431623727083,0.997515363574028
diag_propagated,11,0.0018044448874134104,0.0012613759124651552,0.004290468348655849,0.0036686188322491943,0.0059779584715142844,0.9975225042104721
diag_propagated,12,0.0017401078501425218,0.0012958122515119611,0.004534727762336843,0.003927225334569811,0.006334781201556325,0.9977256673574447
lowrank_naive,1,0.010245205286890269,3.9898668816022106e-05,0.020684448547661303,0.4247299251556397,0.42536330002546313,
lowrank_naive,2,0.008441820515319704,4.0079572616377844e-05,0.021976414186879994,0.4230445508360863,0.4237881998419762,
lowrank_naive,3,0.007337403511628509,4.00019379958394e-05,0.021702678294852375,0.4219747159481049,0.4227240573167801,
lowrank_naive,4,0.00684192069992423,4.0154681912099475e-05,0.01878662383556366,0.42010341596603396,0.42065561103820803,
lowrank_naive,5,0.006772716396488249,4.0215131200966426e-05,0.0170734411906451,0.41857592087984086,0.4190219058394432,
lowrank_naive,6,0.013028656946495175,4.1396641150640786e-05,0.018959590271115302,0.4209156222343445,0.42189968276023865,
lowrank_naive,7,0.012796023834496736,4.2022566674859264e-05,0.018385308997705577,0.42035951334238053,0.42131596863269805,
lowrank_naive,8,0.013252593634650112,4.223992909101071e-05,0.0199853141810745,0.4201056298613548,0.42114203184843063,
lowrank_naive,9,0.014295615791343152,4.4235066343389914e-05,0.020337179338559507,0.41873760825395584,0.4198751981854439,
lowrank_naive,10,0.012565073838457464,4.9045818974263964e-05,0.018494964290410282,0.4216410994529724,0.42247708052396776,
lowrank_naive,11,0.01203073759470135,6.190282078750897e-05,0.01724942958727479,0.41996378934383394,0.4207717068195343,
lowrank_naive,12,0.01173602216038853,6.446086938376538e-05,0.017379440611228345,0.41975518137216566,0.42052581667900085,
lowrank_propagated,1,0.010245205286890269,3.9898668816022106e-05,0.020757837146520616,0.4154762901067734,0.41609768867492675,0.999249155163765
