method,next_mae_mean_K,next_rmse_mean_K,heat_mae_mean_K,n_params
surrogate_v3 (proposed),3.2557,9.8866,NA,5108040
mlp,4.0739,8.7667,NA,1872925
lstm,6.7167,15.1689,NA,3753501
kalman_filter,17.0875,36.8013,NA,72384
vanilla_ensemble,3.9351,8.3742,NA,9364625
